cell,timestamp_us_since_window_start
baseline-vulkan,4443499
baseline-vulkan,4484723
baseline-vulkan,4522429
baseline-vulkan,4559030
baseline-vulkan,4593617
baseline-vulkan,4631204
baseline-vulkan,4673322
baseline-vulkan,4714341
baseline-vulkan,4755108
baseline-vulkan,4796614
baseline-vulkan,4835074
baseline-vulkan,4875879
baseline-vulkan,4912977
baseline-vulkan,4960294
baseline-vulkan,4998395
baseline-vulkan,5040292
baseline-vulkan,5078576
baseline-vulkan,5122796
baseline-vulkan,5165333
baseline-vulkan,5210930
baseline-vulkan,5262244
baseline-vulkan,5324086
baseline-vulkan,5368573
baseline-vulkan,5418596
baseline-vulkan,5461278
baseline-vulkan,5494837
baseline-vulkan,5538123
baseline-vulkan,5571239
baseline-vulkan,5605320
baseline-vulkan,5635889
baseline-vulkan,5667491
baseline-vulkan,5696593
baseline-vulkan,5726294
baseline-vulkan,5756447
baseline-vulkan,5788491
baseline-vulkan,5818086
baseline-vulkan,5854923
baseline-vulkan,5885163
baseline-vulkan,5915263
baseline-vulkan,5947855
baseline-vulkan,5978058
baseline-vulkan,6008648
baseline-vulkan,6036723
baseline-vulkan,6065792
baseline-vulkan,6095932
baseline-vulkan,6125571
baseline-vulkan,6153958
baseline-vulkan,6184033
baseline-vulkan,6213407
baseline-vulkan,6243660
baseline-vulkan,6272147
baseline-vulkan,6301710
baseline-vulkan,6331785
baseline-vulkan,6362857
baseline-vulkan,6393945
baseline-vulkan,6422487
baseline-vulkan,6452057
baseline-vulkan,6488641
baseline-vulkan,6519715
baseline-vulkan,6547776
baseline-vulkan,6576864
baseline-vulkan,6603985
baseline-vulkan,6633806
baseline-vulkan,6668400
baseline-vulkan,6698513
baseline-vulkan,6726608
baseline-vulkan,6756683
baseline-vulkan,6793785
baseline-vulkan,6822354
baseline-vulkan,6851845
baseline-vulkan,6881411
baseline-vulkan,6911051
baseline-vulkan,6940660
baseline-vulkan,6970872
baseline-vulkan,7000964
baseline-vulkan,7031082
baseline-vulkan,7060641
baseline-vulkan,7089737
baseline-vulkan,7120820
baseline-vulkan,7152036
baseline-vulkan,7181123
baseline-vulkan,7212103
baseline-vulkan,7240565
baseline-vulkan,7269808
baseline-vulkan,7300807
baseline-vulkan,7328894
baseline-vulkan,7359429
baseline-vulkan,7400538
baseline-vulkan,7431045
baseline-vulkan,7461603
baseline-vulkan,7490605
baseline-vulkan,7520224
baseline-vulkan,7549792
baseline-vulkan,7580000
baseline-vulkan,7610274
baseline-vulkan,7640069
baseline-vulkan,7670662
baseline-vulkan,7700892
baseline-vulkan,7738628
baseline-vulkan,7768594
baseline-vulkan,7799315
baseline-vulkan,7830899
baseline-vulkan,7860503
baseline-vulkan,7890734
baseline-vulkan,7921147
baseline-vulkan,7955765
baseline-vulkan,7986209
baseline-vulkan,8015062
baseline-vulkan,8045749
baseline-vulkan,8076850
baseline-vulkan,8105377
baseline-vulkan,8136303
baseline-vulkan,8165824
baseline-vulkan,8196431
baseline-vulkan,8226295
baseline-vulkan,8255357
baseline-vulkan,8288928
baseline-vulkan,8329018
baseline-vulkan,8360662
baseline-vulkan,8397967
baseline-vulkan,8435017
baseline-vulkan,8470193
baseline-vulkan,8504991
baseline-vulkan,8539333
baseline-vulkan,8573701
baseline-vulkan,8607452
baseline-vulkan,8644336
baseline-vulkan,8676231
baseline-vulkan,8707389
baseline-vulkan,8744492
baseline-vulkan,8777824
baseline-vulkan,8810902
baseline-vulkan,8849891
baseline-vulkan,8883214
baseline-vulkan,8916142
baseline-vulkan,8948223
baseline-vulkan,8980830
baseline-vulkan,9014129
baseline-vulkan,9046498
baseline-vulkan,9079312
baseline-vulkan,9112891
baseline-vulkan,9146498
baseline-vulkan,9182134
baseline-vulkan,9213731
baseline-vulkan,9262135
baseline-vulkan,9296175
baseline-vulkan,9329769
baseline-vulkan,9363190
baseline-vulkan,9397300
baseline-vulkan,9430967
baseline-vulkan,9466034
baseline-vulkan,9503092
baseline-vulkan,9537918
baseline-vulkan,9579043
baseline-vulkan,9612996
baseline-vulkan,9646167
baseline-vulkan,9682861
baseline-vulkan,9717216
baseline-vulkan,9749834
baseline-vulkan,9783397
baseline-vulkan,9817977
baseline-vulkan,9854475
baseline-vulkan,9891649
baseline-vulkan,9925816
baseline-vulkan,9959979
baseline-vulkan,9993113
candidate-opengl,20739
candidate-opengl,45306
candidate-opengl,70882
candidate-opengl,95719
candidate-opengl,121210
candidate-opengl,147771
candidate-opengl,174531
candidate-opengl,199598
candidate-opengl,225156
candidate-opengl,249969
candidate-opengl,275528
candidate-opengl,314872
candidate-opengl,341972
candidate-opengl,367023
candidate-opengl,391576
candidate-opengl,418959
candidate-opengl,444266
candidate-opengl,470331
candidate-opengl,495409
candidate-opengl,525977
candidate-opengl,553881
candidate-opengl,579942
candidate-opengl,609011
candidate-opengl,646061
candidate-opengl,673127
candidate-opengl,700466
candidate-opengl,731442
candidate-opengl,762512
candidate-opengl,792404
candidate-opengl,819970
candidate-opengl,844018
candidate-opengl,872055
candidate-opengl,897789
candidate-opengl,924754
candidate-opengl,948826
candidate-opengl,974880
candidate-opengl,999856
candidate-opengl,1024410
candidate-opengl,1048744
candidate-opengl,1078090
candidate-opengl,1103716
candidate-opengl,1129428
candidate-opengl,1155984
candidate-opengl,1181034
candidate-opengl,1208002
candidate-opengl,1245358
candidate-opengl,1271431
candidate-opengl,1296990
candidate-opengl,1326053
candidate-opengl,1354133
candidate-opengl,1379042
candidate-opengl,1406349
candidate-opengl,1431399
candidate-opengl,1457467
candidate-opengl,1484457
candidate-opengl,1510010
candidate-opengl,1535567
candidate-opengl,1569808
candidate-opengl,1594746
candidate-opengl,1621313
candidate-opengl,1648743
candidate-opengl,1675505
candidate-opengl,1700066
candidate-opengl,1727980
candidate-opengl,1754024
candidate-opengl,1781370
candidate-opengl,1822568
candidate-opengl,1850622
candidate-opengl,1875762
candidate-opengl,1902317
candidate-opengl,1927883
candidate-opengl,1954439
candidate-opengl,1977489
candidate-opengl,2004047
candidate-opengl,2027596
candidate-opengl,2053679
candidate-opengl,2077732
candidate-opengl,2104299
candidate-opengl,2131464
candidate-opengl,2173025
candidate-opengl,2196074
candidate-opengl,2225135
candidate-opengl,2248991
candidate-opengl,2275603
candidate-opengl,2303104
candidate-opengl,2328210
candidate-opengl,2353618
candidate-opengl,2376963
candidate-opengl,2402454
candidate-opengl,2429009
candidate-opengl,2454062
candidate-opengl,2487130
candidate-opengl,2510711
candidate-opengl,2537265
candidate-opengl,2562297
candidate-opengl,2589546
candidate-opengl,2614246
candidate-opengl,2642035
candidate-opengl,2665584
candidate-opengl,2691757
candidate-opengl,2716478
candidate-opengl,2742791
candidate-opengl,2775362
candidate-opengl,2803308
candidate-opengl,2825867
candidate-opengl,2851480
candidate-opengl,2877523
candidate-opengl,2903090
candidate-opengl,2926127
candidate-opengl,2950687
candidate-opengl,2975746
candidate-opengl,2999808
candidate-opengl,3025864
candidate-opengl,3049756
candidate-opengl,3075319
candidate-opengl,3110895
candidate-opengl,3134454
candidate-opengl,3160009
candidate-opengl,3183558
candidate-opengl,3208646
candidate-opengl,3232705
candidate-opengl,3260782
candidate-opengl,3284341
candidate-opengl,3313447
candidate-opengl,3341765
candidate-opengl,3366827
candidate-opengl,3391920
candidate-opengl,3423998
candidate-opengl,3448048
candidate-opengl,3475119
candidate-opengl,3502961
candidate-opengl,3527012
candidate-opengl,3550823
candidate-opengl,3575884
candidate-opengl,3603440
candidate-opengl,3625994
candidate-opengl,3649741
candidate-opengl,3676306
candidate-opengl,3699867
candidate-opengl,3725463
candidate-opengl,3749016
candidate-opengl,3784590
candidate-opengl,3808459
candidate-opengl,3844030
candidate-opengl,3869595
candidate-opengl,3892881
candidate-opengl,3916385
candidate-opengl,3941952
candidate-opengl,3966546
candidate-opengl,3993982
candidate-opengl,4032062
candidate-opengl,4058671
candidate-opengl,4082220
candidate-opengl,4108295
candidate-opengl,4131342
candidate-opengl,4158421
candidate-opengl,4182489
candidate-opengl,4209039
candidate-opengl,4233537
candidate-opengl,4259612
candidate-opengl,4288557
candidate-opengl,4315703
candidate-opengl,4350737
candidate-opengl,4376865
candidate-opengl,4400944
candidate-opengl,4430016
candidate-opengl,4459050
candidate-opengl,4486995
candidate-opengl,4512580
candidate-opengl,4540549
candidate-opengl,4566306
candidate-opengl,4591813
candidate-opengl,4616280
candidate-opengl,4642517
candidate-opengl,4668114
candidate-opengl,4695880
candidate-opengl,4721457
candidate-opengl,4744169
candidate-opengl,4770427
candidate-opengl,4795998
candidate-opengl,4825561
candidate-opengl,4849623
candidate-opengl,4875094
candidate-opengl,4900659
candidate-opengl,4925716
candidate-opengl,4960824
candidate-opengl,4986430
candidate-opengl,5011135
candidate-opengl,5036834
candidate-opengl,5059382
candidate-opengl,5083568
candidate-opengl,5109005
candidate-opengl,5132552
candidate-opengl,5159107
candidate-opengl,5182665
candidate-opengl,5209938
candidate-opengl,5237018
candidate-opengl,5270589
candidate-opengl,5293597
candidate-opengl,5321993
candidate-opengl,5346246
candidate-opengl,5373873
