cell,timestamp_us_since_window_start
candidate-vulkan,6749772
candidate-vulkan,6783809
candidate-vulkan,6826597
candidate-vulkan,6861296
candidate-vulkan,6895376
candidate-vulkan,6929714
candidate-vulkan,6967154
candidate-vulkan,7005487
candidate-vulkan,7043088
candidate-vulkan,7078640
candidate-vulkan,7121271
candidate-vulkan,7157903
candidate-vulkan,7192976
candidate-vulkan,7226749
candidate-vulkan,7260348
candidate-vulkan,7294410
candidate-vulkan,7328002
candidate-vulkan,7364071
candidate-vulkan,7404458
candidate-vulkan,7445606
candidate-vulkan,7483708
candidate-vulkan,7524302
candidate-vulkan,7565312
candidate-vulkan,7603561
candidate-vulkan,7643159
candidate-vulkan,7683286
candidate-vulkan,7722995
candidate-vulkan,7760922
candidate-vulkan,7800045
candidate-vulkan,7836130
candidate-vulkan,7874953
candidate-vulkan,7916109
candidate-vulkan,7955467
candidate-vulkan,7995067
candidate-vulkan,8033255
candidate-vulkan,8070839
candidate-vulkan,8111437
candidate-vulkan,8150322
candidate-vulkan,8187593
candidate-vulkan,8225134
candidate-vulkan,8258720
candidate-vulkan,8294048
candidate-vulkan,8328632
candidate-vulkan,8365089
candidate-vulkan,8399669
candidate-vulkan,8433751
candidate-vulkan,8465275
candidate-vulkan,8504035
candidate-vulkan,8539647
candidate-vulkan,8575486
candidate-vulkan,8609089
candidate-vulkan,8649844
candidate-vulkan,8686022
candidate-vulkan,8727299
candidate-vulkan,8761643
candidate-vulkan,8797386
candidate-vulkan,8833359
candidate-vulkan,8868428
candidate-vulkan,8905292
candidate-vulkan,8943864
candidate-vulkan,8987748
candidate-vulkan,9025356
candidate-vulkan,9059439
candidate-vulkan,9109740
candidate-vulkan,9144572
candidate-vulkan,9183698
candidate-vulkan,9217074
candidate-vulkan,9254057
candidate-vulkan,9291661
candidate-vulkan,9327088
candidate-vulkan,9363169
candidate-vulkan,9400777
candidate-vulkan,9436460
candidate-vulkan,9473159
candidate-vulkan,9507157
candidate-vulkan,9543287
candidate-vulkan,9580708
candidate-vulkan,9612799
candidate-vulkan,9648764
candidate-vulkan,9683246
candidate-vulkan,9714341
candidate-vulkan,9747565
candidate-vulkan,9783157
candidate-vulkan,9820277
candidate-vulkan,9858165
candidate-vulkan,9896333
candidate-vulkan,9930838
candidate-vulkan,9964309
candidate-vulkan,10006483
baseline-opengl,5195
baseline-opengl,30255
baseline-opengl,55346
baseline-opengl,81318
baseline-opengl,105985
baseline-opengl,131109
baseline-opengl,155231
baseline-opengl,180968
baseline-opengl,205278
baseline-opengl,237897
baseline-opengl,263044
baseline-opengl,300630
baseline-opengl,328207
baseline-opengl,352780
baseline-opengl,378152
baseline-opengl,403722
baseline-opengl,428312
baseline-opengl,452665
baseline-opengl,477715
baseline-opengl,502358
baseline-opengl,528641
baseline-opengl,553732
baseline-opengl,577803
baseline-opengl,610403
baseline-opengl,635982
baseline-opengl,661039
baseline-opengl,684996
baseline-opengl,711573
baseline-opengl,738145
baseline-opengl,763228
baseline-opengl,787323
baseline-opengl,812099
baseline-opengl,836691
baseline-opengl,861829
baseline-opengl,885470
baseline-opengl,911057
baseline-opengl,936076
baseline-opengl,961187
baseline-opengl,986282
baseline-opengl,1011369
baseline-opengl,1035962
baseline-opengl,1060890
baseline-opengl,1084141
baseline-opengl,1111720
baseline-opengl,1135278
baseline-opengl,1161332
baseline-opengl,1185917
baseline-opengl,1222532
baseline-opengl,1248035
baseline-opengl,1277632
baseline-opengl,1304774
baseline-opengl,1332847
baseline-opengl,1361921
baseline-opengl,1387006
baseline-opengl,1412849
baseline-opengl,1437942
baseline-opengl,1463214
baseline-opengl,1487297
baseline-opengl,1512386
baseline-opengl,1545927
