renderer,group,test_id,baseline_average_us,candidate_average_us,average_delta_percent,baseline_p95_us,candidate_p95_us,p95_delta_percent
vulkan,surface,surface.cpu_read_after_gpu_write,2129,2163,1.597,1996,2215,10.9719
vulkan,surface,surface.cpu_read_clean_surface,71,69,-2.8169,80,82,2.5
vulkan,surface,surface.framebuffer_working_set_002,2382,2508,5.2897,3357,3717,10.7239
vulkan,surface,surface.framebuffer_working_set_008,2349,2292,-2.4266,3528,3289,-6.7744
vulkan,surface,surface.framebuffer_working_set_032,2529,2432,-3.8355,3447,3489,1.2185
vulkan,surface,surface.framebuffer_working_set_064,2612,2624,0.4594,3579,3820,6.7337
vulkan,surface,surface.full_clear_elision_guard,2784,2868,3.0172,4044,4133,2.2008
vulkan,surface,surface.overlapping_surface_churn_representative,2824,2866,1.4873,3222,3271,1.5208
vulkan,surface,surface.overlapping_surface_churn_stress,43713,43742,0.0663,45078,44995,-0.1841
vulkan,surface,surface.partial_channel_clear_guard,1841,1865,1.3036,2152,2167,0.697
vulkan,surface,surface.surface_download_path,32932,32920,-0.0364,42334,41396,-2.2157
vulkan,surface,surface.surface_list_lookup_002,1877,1921,2.3442,2485,2478,-0.2817
vulkan,surface,surface.surface_list_lookup_008,1832,1802,-1.6376,2446,2349,-3.9657
vulkan,surface,surface.surface_list_lookup_032,1740,1837,5.5747,2209,2282,3.3047
vulkan,surface,surface.surface_list_lookup_128,1930,2012,4.2487,2421,2661,9.9133
vulkan,surface,surface.vulkan_memory_pressure.representative.alias_resize,42083,43052,2.3026,48629,49043,0.8513
vulkan,surface,surface.vulkan_memory_pressure.representative.growth,42361,42768,0.9608,55628,56912,2.3082
vulkan,surface,surface.vulkan_memory_pressure.representative.idle_retention,1375,1464,6.4727,1635,1919,17.37
vulkan,surface,surface.vulkan_memory_pressure.representative.plateau,38236,39286,2.7461,38592,40252,4.3014
vulkan,surface,surface.vulkan_memory_pressure.representative.reuse,41753,42364,1.4634,47063,47270,0.4398
vulkan,surface,surface.vulkan_memory_pressure.stress.alias_resize,189782,191934,1.1339,220406,221619,0.5503
vulkan,surface,surface.vulkan_memory_pressure.stress.growth,174548,175487,0.538,219312,219621,0.1409
vulkan,surface,surface.vulkan_memory_pressure.stress.idle_retention,573,490,-14.4852,720,580,-19.4444
vulkan,surface,surface.vulkan_memory_pressure.stress.plateau,166303,178322,7.2272,176287,184221,4.5006
vulkan,surface,surface.vulkan_memory_pressure.stress.reuse,187059,190689,1.9406,212612,216184,1.6801
vulkan,tiny_draw,tiny_draw.arrays.fixed_function,18957,18279,-3.5765,19559,19067,-2.5155
vulkan,tiny_draw,tiny_draw.arrays.vertex_shader,19424,18256,-6.0132,20333,18744,-7.8149
vulkan,tiny_draw,tiny_draw.inline_arrays.fixed_function,24361,23292,-4.3882,26456,24486,-7.4463
vulkan,tiny_draw,tiny_draw.inline_arrays.vertex_shader,24525,23371,-4.7054,26211,24546,-6.3523
vulkan,tiny_draw,tiny_draw.inline_buffers.fixed_function,30771,30703,-0.221,34489,32528,-5.6859
vulkan,tiny_draw,tiny_draw.inline_buffers.vertex_shader,30057,29229,-2.7548,33149,30857,-6.9142
vulkan,tiny_draw,tiny_draw.inline_elements.fixed_function,18904,18121,-4.142,19520,18429,-5.5891
vulkan,tiny_draw,tiny_draw.inline_elements.vertex_shader,18675,18115,-2.9987,19303,18384,-4.7609
vulkan,uniform_thrash,uniform_thrash.uniform_thrash,2763,2829,2.3887,9104,9355,2.757
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.disjoint_same_page,32513,32744,0.7105,34109,33829,-0.8209
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.mixed.arrays,21957,22024,0.3051,23879,23794,-0.356
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.mixed.inline_arrays,96690,93822,-2.9662,101515,100618,-0.8836
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.mixed.inline_buffers,537688,513147,-4.5642,544441,524825,-3.603
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.mixed.inline_elements,26927,26850,-0.286,27078,27297,0.8088
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.tiny.arrays,70395,70156,-0.3395,76360,77132,1.011
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.tiny.inline_arrays,35646,34794,-2.3902,37977,37408,-1.4983
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.tiny.inline_buffers,36068,35536,-1.475,36712,36826,0.3105
vulkan,vertex_buffer_allocation,vertex_buffer_allocation.tiny.inline_elements,55846,55240,-1.0851,76555,79172,3.4185
opengl,busy_pfifo,busy_pfifo.pfifo_saturation,67241,66973,-0.3986,73738,69004,-6.42
opengl,busy_pfifo,busy_pfifo.pgraph_pattern_polling,4437405,4442872,0.1232,4437405,4442872,0.1232
opengl,cpu_floating_point,cpu_floating_point.sse_scalar,494948,496749,0.3639,501364,502987,0.3237
opengl,cpu_floating_point,cpu_floating_point.x87_scalar,745307,745145,-0.0217,747854,747046,-0.108
opengl,cpu_translation_blocks,cpu_translation_blocks.direct_loop,10027,9923,-1.0372,10239,10044,-1.9045
opengl,cpu_translation_blocks,cpu_translation_blocks.indirect_dispatch,24063,24367,1.2634,25345,25377,0.1263
opengl,cpu_translation_blocks,cpu_translation_blocks.indirect_dispatch_stress,482134,481746,-0.0805,485728,484441,-0.265
opengl,fill_rate,fill_rate.solid,1511,1469,-2.7796,2277,2307,1.3175
opengl,fill_rate,fill_rate.textured,1626,1304,-19.8032,2401,1836,-23.5319
opengl,game_load,game_load.cross_title_hotpath.blend_constant_reuse,84183,82982,-1.4267,92272,85384,-7.4649
opengl,game_load,game_load.cross_title_hotpath.gpu_wait_control,2353,2336,-0.7225,3106,2899,-6.6645
opengl,game_load,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,82972,82274,-0.8412,84176,85156,1.1642
opengl,game_load,game_load.cross_title_hotpath.pgr2_small_draws,92208,89369,-3.0789,100398,97623,-2.764
opengl,game_load,game_load.cross_title_hotpath.pipeline_state_churn,50762,50726,-0.0709,57256,55967,-2.2513
opengl,game_load,game_load.cross_title_hotpath.queued_vertex_cpu_writes,50689,50438,-0.4952,55533,54686,-1.5252
opengl,game_load,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,8465536,8477550,0.1419,8576378,8511135,-0.7607
opengl,game_load,game_load.cross_title_hotpath.scaled_surface_pressure,232625,231557,-0.4591,240334,239007,-0.5521
opengl,game_load,game_load.cross_title_hotpath.surface_reuse,6295,5980,-5.004,7767,6489,-16.4542
opengl,game_load,game_load.cross_title_hotpath.texture_binding_reuse,116443,102644,-11.8504,118678,115813,-2.4141
opengl,game_load,game_load.cross_title_hotpath.texture_update_reuse,2910,2912,0.0687,3382,3328,-1.5967
opengl,game_load,game_load.doax_menu_representative.cpu_only,9340,9366,0.2784,9495,9703,2.1906
opengl,game_load,game_load.doax_menu_representative.cpu_pfifo_gpu,25190,24794,-1.5721,26016,25190,-3.175
opengl,game_load,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,28088,27382,-2.5135,29020,28231,-2.7188
opengl,game_load,game_load.doax_menu_representative.full_system,28838,28316,-1.8101,33124,31737,-4.1873
opengl,game_load,game_load.doax_menu_representative.gpu_only,13846,13373,-3.4161,14216,14203,-0.0914
opengl,game_load,game_load.doax_menu_representative.pfifo_only,2027,1988,-1.924,2412,2057,-14.7181
opengl,game_load,game_load.doax_menu_representative.streaming_only,4817,4846,0.602,5341,5512,3.2016
opengl,game_load,game_load.doax_menu_stress.cpu_only,18646,18841,1.0458,19539,19203,-1.7196
